,clean_teks,label
124,si username enak dewe lepas tanggung backers dasar toc kickstarter sedia platform crowdfunding creators backers toc tunduk hukum laku governing law si toc cari legal loophole nya url,0
125,anak sma habis pisah wisuda sekolah foto bareng tementemennya jawat pakai kebaya post ig caption ya nikah duluan ku langsung tunduk lesu seraya minum extra joss jancuk,2
126,awak sih orang slow omongin a to z ale makan cranky berat bahagia apa sih,1
127,ganti presiden takuthanya calon si doi onoh ih syudih,0
128,tipu kasihan ibukota negara pimpin haus jabat penting rakyat tahi username username,0
129,pergi antar teman bawa hp janji biar jemput jam saya tidur jemput nongol bingung jalan kaki siang bolong ngeri kali lahh vanashh syekaleh vemirsyahh,4
130,iya lakilaki sang ambil putus anggap ajak diskus dapat ajak cari jalan tenang cemas hidup username,2
131,sakit migrain byknya butuh tenaga mikir bentar mudik ya allah coba,2
132,cerita kemarin sempet tarawih masjid konsentrasi posisi apes gimana posisi solat shaf mas pakai sarung sarung nya nyeplak pantat pas ketat kampret pen bahak solat syit,1
133,congratulation username moga lancar sempat pandang orang orang panggung username break a leg url,1
134,jamin deh gana police username kerja pungli jenis korup pungli addicted coba enak deh generasiantikorupsi,4
135,looh rendah semangat lindung perempuan sih cewek kudu galak laki kek block udahngapain share indonesia,0
136,minggu kabar wkwkwkwk aku sibuk urus rapot ijazah anak kabar minggu sahabat,2
137,haaaa syabar ajaaa bom ikutttt perintah ajanihhh tumben kasih libur kepanjangaaannnnnn,2
138,mohon paksa include mana harap sopan bo labil will be block taatin rule utama,0
139,buka amandemen cebong busuk berkat rahmat allah maha kuasa baca buka uud situ dasar negara ri bongo bongak,0
140,sih susah apresiasi dilakuin oranglain kasih hak nya gap butuh kali yagiliran kerja no ijinlibur ae hajar ketjewalah,0
141,ya tutup mata jabat pintar etika kabinet main nyerang berani y berani etika mana kabinet gundul,0
142,ngapain ramai mikir cari baju lebaran ya mah pakai baju lebaran pakai baju sempit ngaaap iyainajabiarcepet,1
143,moga hari senang ya yuk semangat,1
144,beli shopee pakai atm manual cocok verifikasi otomatis eh enak teledor pakai akun sepupu otomatis pesanannnya kecancel ya allah malih ya henti goblok,2
145,kayak shopee nitip akun orang deh irit ongkir nitip firsta pesan lenti donghan boneka pokemon,2
146,terima kasih teman hmj d awat stikes al irsyad cilacap bagi bahagia mbah kakung mbah putri username url,1
147,suka senang nama maling senang maling digebukin bonyok bakar bunuh,2
148,manusia rakus bunda menteri advokat rampok rahasia negara istana orba bandit bingit,0
149,pln php surat edar maintain daerah a jam skg jam listrik hidup telat bayar tagih langsung denda mati listrik potong username,0
150,supporter username suka barca cinta sepakbola suka film keren lahhh heartofalio url,1
151,konyol mbak komentar main ignore sepele nyaman publish biar kasih ajar orang niat goda biar nerusin niat permaluin reminder bua,0
152,fahri aktivis nol isi reformasi mu rubah apa kecuali koar koar bebas negeri mustinya golkar bubarin harto turun golkar lenggang jaya amien raisa bodoh,0
153,thread sembah wanita permisif leceh alami wanita alas jadi adu khanmaen url,0
154,geli ketimbang sexual harassment timpa via vallen politis amp partai politik manfaat panggung tunjuk dalih bela korban hilihkinthil,0
155,ko si drummer lucu sih muka kek tengil ngegemesin dibiasin receh bias,1
156,macet parah kemang belah mobil parkir gerobak mie ayam gugah selera ngeliat gerobak,2
157,ngomel diginiin bang ojolnya nyolot bilang ikut macet jalan normal rugi neng bensin mba muter balik rugi wth,0
158,happy birthday my lovely wife amie amoy wish all the best moga dalam lindung swt umur senantiasa bahagia keluarga kerabat sehat rejeki wanita hebat keluargaaamiin url,1
159,satu bong hahaha habibie copot jabat prabowo ulah si wiranto wiranto pakai habibie pangab tragedi tanggung pangab bong bongak tembak polisi,0
160,ham koruptor maling mikirkan hak orang koruptor langgar ham koruptor bela koruptor politis bebal,0
161,lahir bong mak mu biar pki zaman soekarno bong lanjut orba basmi salahsatunya keluarga ya,0
162,viralkan oposisi nyinyir kejang sakit jantung sakit hati kronis sulit sembuh,4
163,bahak liat wkwk,1
164,username coba hubung cakung prosedur beli jumat difollow up service maksindo,0
165,teman nya laki almh th tinggal pda hidup ngintil mana laki alh mlangkah ngikut suka nlpon nelpn kantor panjang katakata nya suami almh jatuh cinta kasihan dtang rmah duka rs husada orang nya senang tertawa comblang laki ku hdhhh sedih,2
166,woah urus fitnah dimusuhin bikin sekolah gara temenan trauma minggu malam besok pagi sekolah bikin malu depan orang lewat,2
167,rencana pulang garap project sentuh gin mah pulang weh minggu kemarin hm hikmah ramadhan lewat yah ajar,2
168,tindak leceh seksual ilmu ngerti deh leceh sexual url,2
169,dear username username kirim dokumen jakarta sby pakai yes kirim senin juni selasa juni rabu bikin esmosi bayar pakai yes hari no resi,0
170,yaelahh partai sapi kelon junjung kaga nyali kalah ahok berani hadap lebaran jik pulang kaga peler,0
171,mama murid rikues anak masuk kelas murid hopeless masuk kelas rumor edar guru galak,2
172,ya temanteman mostly perempuan heran ngeliat perempuan dijahatin perempuan alami,2
173,pikir ubah pikir share gila pikir x tulis twitterig jempol netizen kalah,4
174,adl pjbt eselon salah laksana salah dokumen ttdparaf istilah salah tugas jabat y neliti dokumen dittdparaf tgjawab isi,0
175,kaya balik socmed escape ekspresiin gila hubung socmed seram dunia nyata eh dunia nyata escape socmed,4
176,nama sengkuni janji jalan kaki jogja jakarta dipenuhisengkunisengkuni,0
177,ku sadar pilih ku sama jalan semangat indah ku harap buruk ku bayang ku diri jalan penuh warna ngerti pst nyanyi,1
178,maklum pakjakarta sarang gerombol radikal tapiditinggal kabur pentol mek,0
179,duka sedih ku sakit ku iniserius seriuscumatulisan tulisandarilubuhhati hatiyangcukupdalam tapigakdalamdalambanget emot mekkel sip,2
180,enak ya metal bong tidur hotel prodeo pecat mak mega hahahahaha sok metal selesai hidup jerat ott pdip pecat bupati purbalingga url username,0
181,wib hilang sosok laki laki rawat didik rawat lindung hilang moga tenang sana moga anak anak guna,2
182,video atas tulis pas ilc ya bahas iya kecewa mahfud islamselamatkannegeri sedihrasanya,2
183,username boi gimane nih wifi ganggu jan kalah indie home ampe besok ganggu pakai indie home,0
184,baca buku awal senyum ditengahtengah senyum miris akhir senyum pasrah nuhun usernamebukugariswaktu fiersabesari,1
185,heran sih driver gocar keluh macet keluh pas kerja serah deh pura dengar capai,0
186,mardani username mingkem masyarakat cerdas janganpilihpartaioposan sesat,0
187,materi kode etik ajar sd minimal ilmu ilmu dasar buat sopan atur ya kaya bablas peka lupa buku pkn sosum bahas ya si kesana khusus ngena,4
188,pas masuk bilang iyah bingung macet duh ambil order jam kantor pulang macet lampu merah jalan cikampek jorr nih,0
189,nama anis selesai s walopun official bahagia lulus ya kali pesona,1
190,mbak oh mbak datang ya tanggal sholat iednya mbak bul,4
191,ambi siang buka situs online trading sekuritas lihat indeks saham warna warni klikklik cantik bodoh klik tombol buy submit and success,1
192,cont ajar prinsip pegang prinsip teguuhh goda bikin goyah integritas lur senang teman tipe harga ajar dewasa gampang pundung bahagia tiap wkw karakteristik ajar paham,1
193,korban sexualharassment berani speak up dibully bilang lebay ironis kaum hawa ikut nyinyirin kayak biasa dikirimin foto titit deh empati cewek saveviavallen,0
194,damai taik soekarno bubar partai islam masyumi zaman soeharto boleh masyumi keluarga bintang partai bintang begok dungu sok cebong url,0
195,cewek kena sexual harassment berani speak up eh dinyinyirin nyinyir cewek huhu heran deh netijen mata serba salah dasar cebong,0
196,orang oldmoney kandang pakai sederhana kaos oblong celana training keliling kandang pilih sapi transaksi capai m epic beliau orang taat ibadah royal anak gadis nga,1
197,gara username googling berita confirm duhhh berita pasang favorite ku jaman url,1
198,liat benerbener dengerin seksama nissa sabyan nya daun asli rusakrusaknya suara flawless bening benerrr kaya gelas beling abis cuci pakai sunlight bersih sinar deh heran,3
199,innalillahi inna ilaihi rajiun kabar duka limut aceh waris sultan aceh teungku putro safiatuddin cahya nur alam kabar tinggal dunia kota mataram nusa tenggara barat ntb rabu sekira wita url,2
200,s sulit gapai anugrah jalan mudah s ya allah dunia engkau cipta,2
201,lambat laun ajar sabar jujur ya frontal maki orang bilang nasehatin adik,0
202,tetangga rumah sengaja brpapasan pas rumah suddenly ngedip mata diiiiiiiiiihjijik yaaa allaaaaah,0
203,walopun sakit hati tahan nyerang maki pantang bicara frontal bisa tahan ngeblokir solusi,0
204,langsung ku block ya maaf teman teman pilih jalan jalan loh jujur sedih liat alat musik hancur,2
205,simpat liat akun seram takut video hancur brutal pakai kampak posting sedih kali loh liat,4
206,ntan busuk teman busuk nih sadar maaf dimaapin nih yaudah busuk fermentasi skarang biarin hidup gelimang karma,0
207,sibuk ngedit konten ruang tunggu kumpul nenek depan seru yah ghibah mana ghibah asik,1
208,mobilelegendsbangbangid main brawl langsung change pimpin top kill mvp hero ggwp hero normal server top top hero mage role suka hero tank suka skill nya loh buff deh url,1
209,sayang ubah butuh perhati ubah erti percaya ubah lengkap cari cari salah cari,3
210,anak jaman now testimonial dibalesnya minggu bikin url pdkt tinggal match no match kinder senang recehkantwitter,2
211,ijazah dadak nyelip langsung bayang juang kampus teliti skripsi deh el el ya kudu asa,2
212,kadang anak sdpulang sekolah tidur siangbangun main harvest moon psi man url pikir ina inu,2
213,username username tolong cerah kah lapor hotline mention kesini tracking paket purwokerto tuju paket kaimana papua barat buka kalimanah purbalingga salah a salah,0
214,kasihan karyawan bapak lebaran jatuh sakit masuk rumah mudik cepat kampung halaman gusti allah kadang pikir manusia manusia ya terima,2
215,hilang salah karyawan lebaran pusing cari ganti cari karywan pabrik susah banding cari orang tukang parkir,2
216,bodoh hukum tembak bela sibangsat cabul kabur bela jt orang tolol berani waras pikir jawab url,0
217,biasa twitt pakai english but thank you username for pakai it easier to watching them url,1
218,username username username terima kasih tertawa moga amal soleh bulan mulia hamba tertawa bahagia,1
219,antri bank situasyen mbak nomor antri buk ambil nomor antri biar cepat dalamhati rejeki anak,1
220,sebut pas pasang muda anak tinggal rumah orangtua cewek anak dijagain ibu selagi kerja eh pas lebaran tinggal rumah mertua solat ied sungkem moga pahala kasih ibu woi anak sadar kek,0
221,mualaf ajar islam ilmu agama muslim ilmu agama jauuh ya nama malu,2
222,username ligabagaimana sepak bola indonesia maju kaya terusmau perang mah gaza sanahmati masuk syurga,0
223,walopun lebaran nuansa maaf maaf sebar mana tadu atmkatanya maaf saldo cukup coba telfon teman eh operator maaf maaf pulsa panggil recehkantwitter,2
224,nama ide pihak ala username username program unggul ngoce libat warga isi tong sampah biar sampah jakarta asa sampah jerman karenasampahjakartabedasampahjerman,0
225,ig nya langsung hapus akun bijak ignya pasti salah rezim akibat rezim masuk fitnah n,0
226,harap dokter kasih salep lebam birueehhh dkshnya obat nyeri tabletvitamin tensi darah normal salep mah kasih dokter,2
227,jaman panggil nama cewek suka gemetar ngalahin tes pantokhir akmil pap tt sayang sadar woyy cewek usaha mati mati bahagiain ayah rusak nurutin nafsu oldmoneygakngerasain,0
228,andai idmy takyah pasport malam deh my hidup hadap pilih salah rela,2
229,teknik lumayan aneh pas inter passing salah dribbling bagus crossing bagus keypass tebak what a waste of skill,2
230,anggap big is beauty mikir big is sakit sahsah singgung janganjangan percaya tuju lanjur,4
231,bilang koalisi syarat koar jatah menteri nyata parpol non koalisi bedol kasih jbtn menteri,0
232,pc ban agus trade langsung nih si mas,1
233,username selamat ultah kak renoo wkwkw moga temu kelompok reno gppa deh moga bahagia sejahtera dek oza hehehe,1
234,congratulations on your st holly communion xellent mommypapa ompungunty tulang bou xaviera are so happy to be able to witness and accompany you on this special day moga xellent tumbuh mjd anak senang hati tuhan salur berkat orang url,1
235,teriak teriak ganti presidengimana pulang kampung kereta apibagus stasiun keretakereta api bagus ber ac semuacoba lalubanyak copetnyaaahh calonyaaahh,0
236,fadli zhon relepansi nya alas carimisalnya uu terorisme godok dpr bodoh,0
237,gapapaaaa usaha lebaran dospem negeri pas tanggal tanggal sidang kering air mata,2
238,case kena tipu account saldo gopay hangus username tingkat security jadi,2
239,yeeeaaayyy lebaran mamak klaten alhamdulillah swissbelboutique yogyakarta in gondokusuman daerah istimewa yogyakarta,1
240,teman bantuin bungkus kado istri hadiah ultah nikah suruh selip quote romantis ahli hati mering,2
241,hibur baca deh baca twit receh oldmoneygakngerasain hidupque remah rangginang manusia makan kiefsi oge meni hayang pamer story hahaha aque maloo username username url,1
242,sapa sobat misquen asik asik nyala balek damai gampang yah hebat uiy,1
243,oldmoneygakngerasain nongkrong rumah teman motor teriakin woy standaar pas orang tengok sembunyi,1
244,username username yazidi negara yahudi kuat pilih ganti agama bunuh budak singkir yahudi kuat suka survival,4
245,username ya gimana ya lin coba deh mbok pikir sbnre sayang mantan dtk laku pas pacar mu pupuk nek,2
246,coba username market prediksi kondisi ekonomi depan kondisi politik isu,4
247,mak lampir dibully berantas nyamuk tuntas gagal selamat sang kuasa tampil seolaholah gicuuuuu aaahhhh,0
248,username mak lampir dibully berantas nyamuk tuntas gagal selamat sang kuasa tampil seolaholah gicuuuuu aaahhhh,0
249,saking sibuk lupa jam mv rilis iya sibuk sibuk cari sibuk baca ebook heran accounting kerja,2
250,username username jakarta acak pilih pimpin mampu samasekali warga tanggung derita,0
251,lamban jalan terik siang perut tahan izin makan gin ya puasa serasa puasa sahur teman kantor puasa,2
252,izin bincang beliau jawab senyum cerah wibawa iya mbak gimana coba cerita kirakira drngan ramah teman cerita lebar tiket jadwal uas reschedule,1
253,username kena wo langgar nya orang bubar persepakbolaan indonesia mafia nya musnah username username username username,0
254,cari capung bareng teman pakai sapu capung capung tusuk lidi bakar ramai ramai makan bikin sehat oldmoneygakngerasain,1
255,sih jadi bikin bong nyinyir habis gub indonesia ehh ujung kerja gub usut tuntassss url,0
256,jaman putih abuabu ngebet cepat kuliah eh pas kuliah mikir berat ngebet nikah recehkantwitter,2
257,username username hai rakyat geruduglah kantor media pukul wartawannya sila langgar hukum username,0
258,beliau sana dengar sembari senyum cerita potong orangorang masuk tanda tangan ujung inti dua uji duluan beliau tertawa wibawa teduh,1
259,bangun tidur kabar teman terima kerja sujud syukur senang lebay yak bep cari kerja iya susah imma proud friend,1
260,username manusia dengki buruk rusak negara bangga aktivis bodoh bubarin golkar target sopir kendara politik rajalela,0
261,jamaah masjid al tsar nasi tumpeng ayam matang aji tafsir masjid al tsar aju aya aya waeramadhan berkah,1
262,username wo hianati kasih hati jantung kasih kuota tiket rusuh organisir wo lagikelakuan nya kaya saudara biru barat,0
263,username beli mesin cuci best denki central park instalaai senin jun jam an hubung,0
264,komprenya kelompok jam kah asa kelompok minggu kemarin maju sebentar gasampe jam jam bikin degdegan woii,4
265,terima kasih teman basis username sedia luang panitia moga allah swt senantiasa rezeki halal berkah amin,1
266,username username alumni praktik kampus ijin harusnyakan ijin alumnus pakai fasilitas negara tuk penting tahu otoritas kampus,0
267,cocok jadwal telah besok uji jam mba yuyun ya beliau alhamdulillah ya allah lega reschedule fix salim tangan si berterimakasih banget,1
268,percaya dik sakit lupa bawa kacamata pustaka nempelnempel muka monitor url,2
269,pagi nonton infotainment bom brkt kerja kris hatta ganteng ditinggalin hilda bang billy ganteng astagfirullah ngelus dada,2
270,wagelaseh cuti tolak orang rumah sih pong libur langsung kabur,2
271,beliau balas ngapain takut tinggal bicara og hngg si ku kagum beliau jahat gambar rangkai tweetku beliau butuh ku temenku bicara beliau tuh,1
272,username username username username username naaahhhh keookkk bong terbang langit dululah kutat kolam kerruh,0
